     -0.4183	      0.2282	     -0.2026	      5.7960	      4.8188	      1.2657	     14.2190	      2.5443	      4.3531
     -0.4513	      0.2223	     -0.1562	      5.7357	      4.8981	      1.2517	     14.1804	      2.5908	      4.3019
     -0.4834	      0.2159	     -0.1072	      5.6745	      4.9767	      1.2361	     14.1409	      2.6372	      4.2484
     -0.5145	      0.2091	     -0.0565	      5.6125	      5.0545	      1.2190	     14.1005	      2.6834	      4.1927
     -0.5444	      0.2018	     -0.0048	      5.5497	      5.1315	      1.2004	     14.0591	      2.7294	      4.1346
     -0.5732	      0.1941	      0.0470	      5.4860	      5.2078	      1.1803	     14.0168	      2.7753	      4.0742
     -0.6008	      0.1860	      0.0980	      5.4215	      5.2833	      1.1587	     13.9735	      2.8209	      4.0114
     -0.6271	      0.1775	      0.1474	      5.3562	      5.3580	      1.1357	     13.9291	      2.8663	      3.9462
     -0.6523	      0.1687	      0.1945	      5.2900	      5.4318	      1.1112	     13.8837	      2.9116	      3.8785
     -0.6762	      0.1596	      0.2387	      5.2230	      5.5048	      1.0853	     13.8373	      2.9565	      3.8084
     -0.6990	      0.1502	      0.2794	      5.1552	      5.5770	      1.0580	     13.7897	      3.0013	      3.7357
     -0.7206	      0.1405	      0.3164	      5.0865	      5.6482	      1.0293	     13.7410	      3.0458	      3.6605
     -0.7410	      0.1306	      0.3492	      5.0171	      5.7185	      0.9992	     13.6911	      3.0901	      3.5828
     -0.7603	      0.1205	      0.3776	      4.9468	      5.7879	      0.9678	     13.6400	      3.1341	      3.5024
     -0.7785	      0.1102	      0.4015	      4.8757	      5.8564	      0.9351	     13.5877	      3.1777	      3.4194
     -0.7956	      0.0998	      0.4206	      4.8038	      5.9239	      0.9012	     13.5340	      3.2211	      3.3338
     -0.8115	      0.0892	      0.4348	      4.7311	      5.9904	      0.8659	     13.4791	      3.2642	      3.2454
     -0.8263	      0.0785	      0.4442	      4.6576	      6.0559	      0.8295	     13.4228	      3.3070	      3.1543
     -0.8400	      0.0677	      0.4486	      4.5833	      6.1203	      0.7919	     13.3650	      3.3494	      3.0605
     -0.8526	      0.0568	      0.4481	      4.5082	      6.1837	      0.7532	     13.3058	      3.3914	      2.9639
     -0.8640	      0.0459	      0.4426	      4.4324	      6.2460	      0.7134	     13.2451	      3.4330	      2.8645
     -0.8743	      0.0348	      0.4322	      4.3557	      6.3072	      0.6726	     13.1828	      3.4743	      2.7623
     -0.8833	      0.0238	      0.4170	      4.2783	      6.3673	      0.6308	     13.1189	      3.5151	      2.6573
     -0.8912	      0.0126	      0.3971	      4.2001	      6.4263	      0.5881	     13.0533	      3.5554	      2.5495
     -0.8978	      0.0015	      0.3726	      4.1211	      6.4840	      0.5445	     12.9859	      3.5953	      2.4389
     -0.9031	     -0.0096	      0.3437	      4.0414	      6.5406	      0.5000	     12.9167	      3.6347	      2.3254
     -0.9071	     -0.0207	      0.3106	      3.9609	      6.5960	      0.4548	     12.8456	      3.6735	      2.2092
     -0.9097	     -0.0318	      0.2736	      3.8798	      6.6502	      0.4089	     12.7726	      3.7118	      2.0902
     -0.9109	     -0.0428	      0.2330	      3.7978	      6.7031	      0.3624	     12.6976	      3.7495	      1.9685
     -0.9105	     -0.0538	      0.1894	      3.7152	      6.7548	      0.3154	     12.6205	      3.7866	      1.8441
     -0.9087	     -0.0647	      0.1431	      3.6319	      6.8052	      0.2678	     12.5412	      3.8230	      1.7171
     -0.9053	     -0.0754	      0.0947	      3.5479	      6.8543	      0.2198	     12.4597	      3.8587	      1.5876
     -0.9002	     -0.0861	      0.0450	      3.4632	      6.9021	      0.1715	     12.3758	      3.8938	      1.4556
     -0.8935	     -0.0965	     -0.0054	      3.3778	      6.9486	      0.1229	     12.2896	      3.9280	      1.3213
     -0.8852	     -0.1068	     -0.0557	      3.2918	      6.9937	      0.0741	     12.2009	      3.9615	      1.1849
     -0.8753	     -0.1169	     -0.1052	      3.2052	      7.0375	      0.0252	     12.1096	      3.9942	      1.0463
     -0.8639	     -0.1268	     -0.1531	      3.1180	      7.0800	     -0.0237	     12.0157	      4.0260	      0.9060
     -0.8509	     -0.1365	     -0.1988	      3.0301	      7.1211	     -0.0726	     11.9192	      4.0569	      0.7640
     -0.8365	     -0.1459	     -0.2417	      2.9417	      7.1609	     -0.1214	     11.8199	      4.0868	      0.6205
     -0.8207	     -0.1551	     -0.2814	      2.8527	      7.1993	     -0.1700	     11.7178	      4.1158	      0.4758
     -0.8036	     -0.1641	     -0.3173	      2.7632	      7.2364	     -0.2183	     11.6128	      4.1438	      0.3301
     -0.7852	     -0.1728	     -0.3492	      2.6732	      7.2720	     -0.2663	     11.5049	      4.1708	      0.1838
     -0.7657	     -0.1812	     -0.3768	      2.5827	      7.3064	     -0.3139	     11.3941	      4.1966	      0.0371
     -0.7451	     -0.1894	     -0.3998	      2.4917	      7.3393	     -0.3610	     11.2802	      4.2214	     -0.1097
     -0.7234	     -0.1973	     -0.4180	      2.4002	      7.3709	     -0.4075	     11.1634	      4.2451	     -0.2563
     -0.7006	     -0.2049	     -0.4314	      2.3083	      7.4012	     -0.4534	     11.0435	      4.2676	     -0.4023
     -0.6770	     -0.2123	     -0.4398	      2.2159	      7.4301	     -0.4987	     10.9206	      4.2889	     -0.5474
     -0.6523	     -0.2193	     -0.4431	      2.1232	      7.4577	     -0.5432	     10.7947	      4.3090	     -0.6912
     -0.6268	     -0.2261	     -0.4414	      2.0301	      7.4839	     -0.5869	     10.6658	      4.3280	     -0.8334
     -0.6004	     -0.2325	     -0.4346	      1.9366	      7.5088	     -0.6298	     10.5339	      4.3457	     -0.9737
     -0.5732	     -0.2387	     -0.4227	      1.8428	      7.5324	     -0.6717	     10.3990	      4.3622	     -1.1118
     -0.5452	     -0.2444	     -0.4057	      1.7487	      7.5547	     -0.7127	     10.2612	      4.3775	     -1.2473
     -0.5164	     -0.2499	     -0.3839	      1.6543	      7.5758	     -0.7527	     10.1206	      4.3916	     -1.3799
     -0.4868	     -0.2549	     -0.3571	      1.5596	      7.5955	     -0.7917	      9.9772	      4.4044	     -1.5093
     -0.4566	     -0.2596	     -0.3258	      1.4646	      7.6140	     -0.8296	      9.8310	      4.4161	     -1.6353
     -0.4256	     -0.2639	     -0.2900	      1.3694	      7.6312	     -0.8663	      9.6821	      4.4265	     -1.7576
     -0.3939	     -0.2678	     -0.2501	      1.2740	      7.6472	     -0.9019	      9.5306	      4.4357	     -1.8760
     -0.3615	     -0.2712	     -0.2065	      1.1784	      7.6619	     -0.9363	      9.3765	      4.4438	     -1.9902
     -0.3286	     -0.2742	     -0.1596	      1.0826	      7.6755	     -0.9694	      9.2200	      4.4506	     -2.1000
     -0.2950	     -0.2767	     -0.1100	      0.9866	      7.6878	     -1.0013	      9.0610	      4.4563	     -2.2053
     -0.2609	     -0.2787	     -0.0586	      0.8904	      7.6990	     -1.0320	      8.8997	      4.4609	     -2.3059
     -0.2263	     -0.2802	     -0.0060	      0.7942	      7.7089	     -1.0613	      8.7361	      4.4643	     -2.4016
     -0.1913	     -0.2813	      0.0466	      0.6978	      7.7177	     -1.0893	      8.5703	      4.4665	     -2.4922
     -0.1559	     -0.2819	      0.0984	      0.6013	      7.7254	     -1.1160	      8.4024	      4.4677	     -2.5777
     -0.1203	     -0.2821	      0.1484	      0.5047	      7.7319	     -1.1413	      8.2324	      4.4677	     -2.6578
     -0.0844	     -0.2819	      0.1958	      0.4080	      7.7373	     -1.1652	      8.0603	      4.4667	     -2.7326
     -0.0484	     -0.2814	      0.2400	      0.3113	      7.7415	     -1.1878	      7.8863	      4.4645	     -2.8018
